# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
2.120000e+02 1.069017e-01 4.329264e-02 1.774466e+11
2.130000e+02 1.066226e-01 4.318997e-02 1.733491e+11
2.140000e+02 1.063446e-01 4.308796e-02 1.693456e+11
2.150000e+02 1.060703e-01 4.298674e-02 1.654326e+11
2.160000e+02 1.057977e-01 4.288623e-02 1.616084e+11
2.170000e+02 1.055275e-01 4.278640e-02 1.578716e+11
2.180000e+02 1.052606e-01 4.268719e-02 1.542206e+11
2.190000e+02 1.049954e-01 4.258874e-02 1.506522e+11
2.200000e+02 1.047329e-01 4.249095e-02 1.471655e+11
2.210000e+02 1.044714e-01 4.239381e-02 1.437581e+11
2.220000e+02 1.042133e-01 4.229732e-02 1.404289e+11
2.230000e+02 1.039550e-01 4.220150e-02 1.371757e+11
2.240000e+02 1.036994e-01 4.210630e-02 1.339971e+11
2.250000e+02 1.034459e-01 4.201173e-02 1.308908e+11
2.260000e+02 1.031939e-01 4.191785e-02 1.278553e+11
2.270000e+02 1.029452e-01 4.182469e-02 1.248889e+11
2.280000e+02 1.026972e-01 4.173204e-02 1.219908e+11
2.290000e+02 1.024487e-01 4.163997e-02 1.191593e+11
2.300000e+02 1.022041e-01 4.154843e-02 1.163930e+11
2.310000e+02 1.019603e-01 4.145748e-02 1.136900e+11
2.320000e+02 1.017166e-01 4.136696e-02 1.110497e+11
2.330000e+02 1.014737e-01 4.127696e-02 1.084708e+11
2.340000e+02 1.012325e-01 4.118755e-02 1.059511e+11
2.350000e+02 1.009947e-01 4.109875e-02 1.034891e+11
2.360000e+02 1.007615e-01 4.101072e-02 1.010825e+11
2.370000e+02 1.005309e-01 4.092341e-02 9.873046e+10
2.380000e+02 1.003041e-01 4.083676e-02 9.643191e+10
2.390000e+02 1.000719e-01 4.075046e-02 9.418676e+10
2.400000e+02 9.983794e-02 4.066429e-02 9.199505e+10
2.410000e+02 9.960589e-02 4.057861e-02 8.985428e+10
2.420000e+02 9.937773e-02 4.049360e-02 8.776243e+10
2.430000e+02 9.915363e-02 4.040925e-02 8.571815e+10
2.440000e+02 9.893316e-02 4.032567e-02 8.372002e+10
2.450000e+02 9.871521e-02 4.024264e-02 8.176751e+10
2.460000e+02 9.849441e-02 4.015989e-02 7.986078e+10
2.470000e+02 9.827255e-02 4.007742e-02 7.799885e+10
2.480000e+02 9.805250e-02 3.999528e-02 7.618068e+10
2.490000e+02 9.783740e-02 3.991382e-02 7.440421e+10
2.500000e+02 9.762830e-02 3.983334e-02 7.266690e+10
2.510000e+02 9.741785e-02 3.975341e-02 7.096899e+10
2.520000e+02 9.720229e-02 3.967340e-02 6.931201e+10
2.530000e+02 9.698599e-02 3.959356e-02 6.769499e+10
2.540000e+02 9.677884e-02 3.951454e-02 6.611407e+10
2.550000e+02 9.657289e-02 3.943636e-02 6.456864e+10
2.560000e+02 9.636799e-02 3.935860e-02 6.305861e+10
2.570000e+02 9.616038e-02 3.928104e-02 6.158449e+10
2.580000e+02 9.595233e-02 3.920363e-02 6.014536e+10
2.590000e+02 9.574578e-02 3.912678e-02 5.873956e+10
2.600000e+02 9.555021e-02 3.905085e-02 5.736481e+10
2.610000e+02 9.535236e-02 3.897537e-02 5.602161e+10
2.620000e+02 9.514940e-02 3.889985e-02 5.471076e+10
2.630000e+02 9.494885e-02 3.882456e-02 5.343109e+10
2.640000e+02 9.475775e-02 3.875018e-02 5.218016e+10
2.650000e+02 9.456695e-02 3.867652e-02 5.095707e+10
2.660000e+02 9.436820e-02 3.860280e-02 4.976341e+10
2.670000e+02 9.416915e-02 3.852910e-02 4.859868e+10
2.680000e+02 9.398539e-02 3.845659e-02 4.745941e+10
2.690000e+02 9.379774e-02 3.838449e-02 4.634591e+10
2.700000e+02 9.359749e-02 3.831205e-02 4.526027e+10
2.710000e+02 9.340909e-02 3.824019e-02 4.419977e+10
2.720000e+02 9.322849e-02 3.816951e-02 4.316208e+10
2.730000e+02 9.304204e-02 3.809885e-02 4.214879e+10
2.740000e+02 9.284493e-02 3.802775e-02 4.116132e+10
2.750000e+02 9.266628e-02 3.795783e-02 4.019532e+10
