     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
1.77000e+04  4.063e+12  8.321051e-01  0.000000e+00  0.000000e+00  9.289e+10
1.78000e+04  4.055e+12  8.321032e-01  0.000000e+00  0.000000e+00  8.994e+10
1.79000e+04  4.048e+12  8.321029e-01  0.000000e+00  0.000000e+00  8.711e+10
1.80000e+04  4.040e+12  8.321043e-01  0.000000e+00  0.000000e+00  8.439e+10
1.81000e+04  4.033e+12  8.321074e-01  0.000000e+00  0.000000e+00  8.177e+10
1.82000e+04  4.025e+12  8.321121e-01  0.000000e+00  0.000000e+00  7.926e+10
1.83000e+04  4.018e+12  8.321183e-01  0.000000e+00  0.000000e+00  7.685e+10
1.84000e+04  4.010e+12  8.321262e-01  0.000000e+00  0.000000e+00  7.453e+10
1.85000e+04  4.002e+12  8.321356e-01  0.000000e+00  0.000000e+00  7.229e+10
1.86000e+04  3.994e+12  8.321466e-01  0.000000e+00  0.000000e+00  7.014e+10
1.87000e+04  3.986e+12  8.321590e-01  0.000000e+00  0.000000e+00  6.807e+10
1.88000e+04  3.978e+12  8.321730e-01  0.000000e+00  0.000000e+00  6.608e+10
1.89000e+04  3.970e+12  8.321884e-01  0.000000e+00  0.000000e+00  6.415e+10
1.90000e+04  3.962e+12  8.322053e-01  0.000000e+00  0.000000e+00  6.230e+10
1.91000e+04  3.954e+12  8.322236e-01  0.000000e+00  0.000000e+00  6.051e+10
1.92000e+04  3.945e+12  8.322433e-01  0.000000e+00  0.000000e+00  5.879e+10
1.93000e+04  3.937e+12  8.322645e-01  0.000000e+00  0.000000e+00  5.712e+10
1.94000e+04  3.928e+12  8.322870e-01  0.000000e+00  0.000000e+00  5.552e+10
1.95000e+04  3.920e+12  8.323108e-01  0.000000e+00  0.000000e+00  5.397e+10
1.96000e+04  3.911e+12  8.323360e-01  0.000000e+00  0.000000e+00  5.247e+10
1.97000e+04  3.903e+12  8.323626e-01  0.000000e+00  0.000000e+00  5.103e+10
1.98000e+04  3.894e+12  8.323904e-01  0.000000e+00  0.000000e+00  4.963e+10
1.99000e+04  3.885e+12  8.324195e-01  0.000000e+00  0.000000e+00  4.829e+10
2.00000e+04  3.877e+12  8.324499e-01  0.000000e+00  0.000000e+00  4.698e+10
2.01000e+04  3.868e+12  8.324815e-01  0.000000e+00  0.000000e+00  4.572e+10
2.02000e+04  3.859e+12  8.325144e-01  0.000000e+00  0.000000e+00  4.450e+10
2.03000e+04  3.850e+12  8.325485e-01  0.000000e+00  0.000000e+00  4.332e+10
2.04000e+04  3.841e+12  8.325838e-01  0.000000e+00  0.000000e+00  4.218e+10
2.05000e+04  3.832e+12  8.326203e-01  0.000000e+00  0.000000e+00  4.107e+10
2.06000e+04  3.823e+12  8.326598e-01  0.000000e+00  0.000000e+00  4.000e+10
2.07000e+04  3.814e+12  8.326987e-01  0.000000e+00  0.000000e+00  3.897e+10
2.08000e+04  3.805e+12  8.327388e-01  0.000000e+00  0.000000e+00  3.797e+10
2.09000e+04  3.795e+12  8.327800e-01  0.000000e+00  0.000000e+00  3.699e+10
2.10000e+04  3.786e+12  8.328224e-01  0.000000e+00  0.000000e+00  3.605e+10
2.11000e+04  3.777e+12  8.328658e-01  0.000000e+00  0.000000e+00  3.514e+10
2.12000e+04  3.768e+12  8.329104e-01  0.000000e+00  0.000000e+00  3.426e+10
2.13000e+04  3.758e+12  8.329560e-01  0.000000e+00  0.000000e+00  3.340e+10
2.14000e+04  3.749e+12  8.330026e-01  0.000000e+00  0.000000e+00  3.257e+10
2.15000e+04  3.739e+12  8.330503e-01  0.000000e+00  0.000000e+00  3.176e+10
2.16000e+04  3.730e+12  8.330991e-01  0.000000e+00  0.000000e+00  3.098e+10
2.17000e+04  3.720e+12  8.331489e-01  0.000000e+00  0.000000e+00  3.022e+10
2.18000e+04  3.711e+12  8.331996e-01  0.000000e+00  0.000000e+00  2.948e+10
2.19000e+04  3.701e+12  8.332514e-01  0.000000e+00  0.000000e+00  2.877e+10
2.20000e+04  3.692e+12  8.333042e-01  0.000000e+00  0.000000e+00  2.807e+10
2.21000e+04  3.682e+12  8.333579e-01  0.000000e+00  0.000000e+00  2.740e+10
2.22000e+04  3.672e+12  8.334126e-01  0.000000e+00  0.000000e+00  2.675e+10
2.23000e+04  3.663e+12  8.334682e-01  0.000000e+00  0.000000e+00  2.611e+10
2.24000e+04  3.653e+12  8.335247e-01  0.000000e+00  0.000000e+00  2.549e+10
2.25000e+04  3.643e+12  8.335822e-01  0.000000e+00  0.000000e+00  2.489e+10
2.26000e+04  3.633e+12  8.336406e-01  0.000000e+00  0.000000e+00  2.431e+10
2.27000e+04  3.623e+12  8.336999e-01  0.000000e+00  0.000000e+00  2.374e+10
2.28000e+04  3.614e+12  8.337600e-01  0.000000e+00  0.000000e+00  2.319e+10
2.29000e+04  3.604e+12  8.338211e-01  0.000000e+00  0.000000e+00  2.266e+10
2.30000e+04  3.594e+12  8.338830e-01  0.000000e+00  0.000000e+00  2.214e+10
2.31000e+04  3.584e+12  8.339457e-01  0.000000e+00  0.000000e+00  2.163e+10
2.32000e+04  3.574e+12  8.340093e-01  0.000000e+00  0.000000e+00  2.114e+10
2.33000e+04  3.564e+12  8.340737e-01  0.000000e+00  0.000000e+00  2.066e+10
2.34000e+04  3.554e+12  8.341390e-01  0.000000e+00  0.000000e+00  2.019e+10
2.35000e+04  3.544e+12  8.342050e-01  0.000000e+00  0.000000e+00  1.974e+10
2.36000e+04  3.534e+12  8.342719e-01  0.000000e+00  0.000000e+00  1.929e+10
