#Beamline acceptance: 152 X 210 urad²
#Energy[eV]	Flux[ph/s/eV/100mA] 
5230.00	9.744871E+12 
5240.00	1.075664E+13 
5250.00	1.233738E+13 
5260.00	1.387336E+13 
5270.00	1.558194E+13 
5280.00	1.725095E+13 
5290.00	1.794485E+13 
5300.00	1.559776E+13 
5310.00	1.133311E+13 
5320.00	9.842660E+12 
5330.00	1.085674E+13 
5340.00	1.228259E+13 
5350.00	1.386105E+13 
5360.00	1.542963E+13 
5370.00	1.692800E+13 
5380.00	1.722582E+13 
5390.00	1.439091E+13 
5400.00	1.051128E+13 
5410.00	9.588414E+12 
5420.00	1.054374E+13 
5430.00	1.202186E+13 
5440.00	1.354475E+13 
5450.00	1.518353E+13 
5460.00	1.666774E+13 
5470.00	1.705314E+13 
5480.00	1.475448E+13 
5490.00	1.095190E+13 
5500.00	9.607522E+12 
5510.00	1.055469E+13 
5520.00	1.193556E+13 
5530.00	1.342168E+13 
5540.00	1.496099E+13 
5550.00	1.627303E+13 
5560.00	1.632171E+13 
5570.00	1.363889E+13 
5580.00	1.021881E+13 
5590.00	9.452647E+12 
5600.00	1.038887E+13 
5610.00	1.177498E+13 
5620.00	1.326963E+13 
5630.00	1.479331E+13 
5640.00	1.604298E+13 
5650.00	1.619674E+13 
5660.00	1.398328E+13 
5670.00	1.059224E+13 
5680.00	9.385582E+12 
5690.00	1.023892E+13 
5700.00	1.157712E+13 
5710.00	1.301227E+13 
5720.00	1.448984E+13 
5730.00	1.559318E+13 
5740.00	1.544816E+13 
5750.00	1.294886E+13 
5760.00	9.932457E+12 
5770.00	9.305608E+12 
5780.00	1.024214E+13 
5790.00	1.155581E+13 
5800.00	1.299449E+13 
5810.00	1.436332E+13 
5820.00	1.538263E+13 
5830.00	1.539743E+13 
5840.00	1.331830E+13 
5850.00	1.028795E+13 
5860.00	9.198113E+12 
5870.00	9.957866E+12 
5880.00	1.125469E+13 
5890.00	1.265601E+13 
5900.00	1.402195E+13 
5910.00	1.491844E+13 
5920.00	1.462587E+13 
5930.00	1.230556E+13 
5940.00	9.648801E+12 
5950.00	9.131789E+12 
5960.00	1.006181E+13 
5970.00	1.132306E+13 
5980.00	1.267528E+13 
5990.00	1.387304E+13 
6000.00	1.471233E+13 
6010.00	1.466981E+13 
6020.00	1.275188E+13 
6030.00	1.002910E+13 
6040.00	9.054435E+12 
6050.00	9.742864E+12 
6060.00	1.099725E+13 
6070.00	1.234612E+13 
6080.00	1.355123E+13 
6090.00	1.425950E+13 
6100.00	1.386029E+13 
6110.00	1.170245E+13 
6120.00	9.360066E+12 
6130.00	8.925035E+12 
6140.00	9.835040E+12 
6150.00	1.105561E+13 
6160.00	1.230332E+13 
6170.00	1.334613E+13 
6180.00	1.406003E+13 
6190.00	1.398879E+13 
6200.00	1.223349E+13 
6210.00	9.804075E+12 
6220.00	8.950537E+12 
6230.00	9.593540E+12 
6240.00	1.079400E+13 
6250.00	1.204369E+13 
6260.00	1.306767E+13 
6270.00	1.363346E+13 
6280.00	1.316869E+13 
6290.00	1.114502E+13 
6300.00	9.058611E+12 
6310.00	8.694007E+12 
6320.00	9.581709E+12 
6330.00	1.076139E+13 
6340.00	1.189929E+13 
6350.00	1.280945E+13 
6360.00	1.342808E+13 
6370.00	1.334057E+13 
6380.00	1.176034E+13 
6390.00	9.610971E+12 
6400.00	8.865594E+12 
6410.00	9.485155E+12 
6420.00	1.060993E+13 
6430.00	1.172292E+13 
6440.00	1.258899E+13 
6450.00	1.306500E+13 
6460.00	1.257389E+13 
6470.00	1.067657E+13 
6480.00	8.797059E+12 
6490.00	8.477568E+12 
6500.00	9.323660E+12 
6510.00	1.044938E+13 
6520.00	1.147429E+13 
6530.00	1.227405E+13 
6540.00	1.281934E+13 
6550.00	1.271064E+13 
6560.00	1.128457E+13 
6570.00	9.391008E+12 
6580.00	8.769291E+12 
6590.00	9.388596E+12 
6600.00	1.041950E+13 
6610.00	1.138354E+13 
6620.00	1.212157E+13 
6630.00	1.252902E+13 
6640.00	1.203097E+13 
6650.00	1.026994E+13 
6660.00	8.567827E+12 
6670.00	8.280479E+12 
6680.00	9.066221E+12 
6690.00	1.011362E+13 
6700.00	1.103664E+13 
6710.00	1.176234E+13 
6720.00	1.225800E+13 
6730.00	1.211917E+13 
6740.00	1.081288E+13 
6750.00	9.156417E+12 
6760.00	8.663788E+12 
6770.00	9.285555E+12 
6780.00	1.021261E+13 
6790.00	1.102671E+13 
6800.00	1.165560E+13 
6810.00	1.201108E+13 
6820.00	1.153785E+13 
6830.00	9.927980E+12 
6840.00	8.382393E+12 
6850.00	8.109487E+12 
6860.00	8.814599E+12 
6870.00	9.768097E+12 
6880.00	1.061346E+13 
6890.00	1.129540E+13 
6900.00	1.174925E+13 
6910.00	1.157227E+13 
6920.00	1.036013E+13 
6930.00	8.915112E+12 
6940.00	8.541074E+12 
6950.00	9.153731E+12 
6960.00	9.973860E+12 
6970.00	1.065173E+13 
6980.00	1.119489E+13 
6990.00	1.151052E+13 
7000.00	1.106543E+13 
7010.00	9.604455E+12 
7020.00	8.217632E+12 
7030.00	7.963427E+12 
7040.00	8.579558E+12 
7050.00	9.430265E+12 
7060.00	1.020970E+13 
7070.00	1.085917E+13 
7080.00	1.128068E+13 
7090.00	1.107821E+13 
7100.00	9.947925E+12 
7110.00	8.672282E+12 
7120.00	8.387770E+12 
7130.00	8.974915E+12 
7140.00	9.700583E+12 
7150.00	1.028356E+13 
7160.00	1.076427E+13 
7170.00	1.104003E+13 
7180.00	1.062055E+13 
7190.00	9.316127E+12 
7200.00	8.087355E+12 
7210.00	7.847151E+12 
7220.00	8.362216E+12 
7230.00	9.097661E+12 
7240.00	9.809974E+12 
7250.00	1.043658E+13 
7260.00	1.084483E+13 
7270.00	1.063148E+13 
7280.00	9.566064E+12 
7290.00	8.425223E+12 
7300.00	8.202634E+12 
7310.00	8.757909E+12 
7320.00	9.421631E+12 
7330.00	9.944176E+12 
7340.00	1.037035E+13 
7350.00	1.059497E+13 
7360.00	1.019492E+13 
7370.00	9.041193E+12 
7380.00	7.968700E+12 
7390.00	7.738158E+12 
7400.00	8.147268E+12 
7410.00	8.763300E+12 
7420.00	9.413602E+12 
7430.00	1.003155E+13 
7440.00	1.043946E+13 
7450.00	1.022689E+13 
7460.00	9.224335E+12 
7470.00	8.189628E+12 
7480.00	8.001102E+12 
7490.00	8.516938E+12 
7500.00	9.136471E+12 
7510.00	9.621298E+12 
7520.00	9.998766E+12 
7530.00	1.017271E+13 
7540.00	9.782280E+12 
7550.00	8.761731E+12 
7560.00	7.831473E+12 
7570.00	7.615104E+12 
7580.00	7.933979E+12 
7590.00	8.447545E+12 
7600.00	9.042351E+12 
7610.00	9.650162E+12 
7620.00	1.005733E+13 
7630.00	9.861489E+12 
7640.00	8.931577E+12 
7650.00	7.978009E+12 
7660.00	7.789609E+12 
