#Energy[eV] Flux[ph/s/500mA/0.1%bW] 
1.023093257771745357e+02 2.702089899236307422e+13
1.023267585143183140e+02 2.702235243239563281e+13
1.023441942218688467e+02 2.702380594115360938e+13
1.023616329003325092e+02 2.702525951863857812e+13
1.023790745502152788e+02 2.702671316484806250e+13
1.023965191720237016e+02 2.702816687978630078e+13
1.024139667662639397e+02 2.702962066345747266e+13
1.024314173334426954e+02 2.703107451585782422e+13
1.024488708740663157e+02 2.703252843699152734e+13
1.024663273886416732e+02 2.703398242686150781e+13
1.024837868776752856e+02 2.703543648546792969e+13
1.025012493416742103e+02 2.703689061281104688e+13
1.025187147811451212e+02 2.703834480889503516e+13
1.025361831965952319e+02 2.703979907371878516e+13
1.025536545885314439e+02 2.704125340728650781e+13
1.025711289574610987e+02 2.704270780959841016e+13
1.025886063038912681e+02 2.704416228065470703e+13
1.026060866283295070e+02 2.704561682045960547e+13
1.026235699312830292e+02 2.704707142901329688e+13
1.026410562132595459e+02 2.704852610631600781e+13
1.026585454747664699e+02 2.704998085237326953e+13
1.026760377163117113e+02 2.705143566718130469e+13
1.026935329384027966e+02 2.705289055074563281e+13
1.027110311415478350e+02 2.705434550306648047e+13
1.027285323262545518e+02 2.705580052414537109e+13
1.027460364930311982e+02 2.705725561398252734e+13
1.027635436423856703e+02 2.705871077258213672e+13
1.027810537748264039e+02 2.706016599994575781e+13
1.027985668908614798e+02 2.706162129607357031e+13
1.028160829909994902e+02 2.706307666096581250e+13
1.028336020757487006e+02 2.706453209462398438e+13
1.028511241456178595e+02 2.706598759705499609e+13
1.028686492011154030e+02 2.706744316825235547e+13
1.028861772427502785e+02 2.706889880822561719e+13
1.029037082710310784e+02 2.707035451696963672e+13
1.029212422864669350e+02 2.707181029448996094e+13
1.029387792895666109e+02 2.707326614078678125e+13
1.029563192808393950e+02 2.707472205586299219e+13
1.029738622607942347e+02 2.707617803971609766e+13
1.029914082299406033e+02 2.707763409235164844e+13
1.030089571887876190e+02 2.707909021377251562e+13
1.030265091378448972e+02 2.708054640397357422e+13
1.030440640776217691e+02 2.708200266296432422e+13
1.030616220086280208e+02 2.708345899073967969e+13
1.030791829313731256e+02 2.708491538730512891e+13
1.030967468463670684e+02 2.708637185266091016e+13
1.031143137541194932e+02 2.708782838680985547e+13
1.031318836551405553e+02 2.708928498975086719e+13
1.031494565499400693e+02 2.709074166148810938e+13
1.031670324390283611e+02 2.709219840202047656e+13
1.031846113229154440e+02 2.709365521135214453e+13
1.032021932021118005e+02 2.709511208948466406e+13
1.032197780771276001e+02 2.709656903641687109e+13
1.032373659484734247e+02 2.709802605215166406e+13
1.032549568166599130e+02 2.709948313669189062e+13
1.032725506821975188e+02 2.710094029003640234e+13
1.032901475455971507e+02 2.710239751219208594e+13
1.033077474073694333e+02 2.710385480315244922e+13
1.033253502680254599e+02 2.710531216292437109e+13
1.033429561280760254e+02 2.710676959150938281e+13
1.033605649880323938e+02 2.710822708890766016e+13
1.033781768484055448e+02 2.710968465512074219e+13
1.033957917097068986e+02 2.711114229015016016e+13
1.034134095724476197e+02 2.711259999399876562e+13
1.034310304371393130e+02 2.711405776666676562e+13
1.034486543042932851e+02 2.711551560815567188e+13
1.034662811744213400e+02 2.711697351846702344e+13
1.034839110480349689e+02 2.711843149760367578e+13
1.035015439256461462e+02 2.711988954556448828e+13
1.035191798077665055e+02 2.712134766235498047e+13
1.035368186949082059e+02 2.712280584797268750e+13
1.035544605875830939e+02 2.712426410242046094e+13
1.035721054863034709e+02 2.712572242570116406e+13
