#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
6670.00	2.720049E+11 
6680.00	2.856080E+11 
6690.00	3.002667E+11 
6700.00	3.160061E+11 
6710.00	3.328591E+11 
6720.00	3.508325E+11 
6730.00	3.699548E+11 
6740.00	3.902469E+11 
6750.00	4.117661E+11 
6760.00	4.345159E+11 
6770.00	4.586212E+11 
6780.00	4.841193E+11 
6790.00	5.112054E+11 
6800.00	5.400844E+11 
6810.00	5.711027E+11 
6820.00	6.048129E+11 
6830.00	6.420219E+11 
6840.00	6.840346E+11 
6850.00	7.327813E+11 
6860.00	7.912198E+11 
6870.00	8.636775E+11 
6880.00	9.563400E+11 
6890.00	1.077739E+12 
6900.00	1.239094E+12 
6910.00	1.454923E+12 
6920.00	1.744112E+12 
6930.00	2.131969E+12 
6940.00	2.652981E+12 
6950.00	3.353062E+12 
6960.00	4.290630E+12 
6970.00	5.537550E+12 
6980.00	7.183304E+12 
6990.00	9.343009E+12 
7000.00	1.216508E+13 
7010.00	1.583530E+13 
7020.00	2.058318E+13 
7030.00	2.669685E+13 
7040.00	3.454389E+13 
7050.00	4.459641E+13 
7060.00	5.747505E+13 
7070.00	7.403633E+13 
7080.00	9.554696E+13 
7090.00	1.239467E+14 
7100.00	1.617644E+14 
7110.00	2.104325E+14 
7120.00	2.668261E+14 
7130.00	3.223754E+14 
7140.00	3.688581E+14 
7150.00	4.048702E+14 
7160.00	4.346299E+14 
7170.00	4.624917E+14 
7180.00	4.903810E+14 
7190.00	5.180223E+14 
7200.00	5.414714E+14 
7210.00	5.448423E+14 
7220.00	4.926802E+14 
7230.00	3.620238E+14 
7240.00	1.989219E+14 
7250.00	8.158497E+13 
7260.00	2.982439E+13 
7270.00	1.372425E+13 
7280.00	8.667359E+12 
7290.00	6.367579E+12 
7300.00	4.980683E+12 
7310.00	4.033873E+12 
7320.00	3.354794E+12 
7330.00	2.844194E+12 
7340.00	2.448317E+12 
7350.00	2.133905E+12 
7360.00	1.879321E+12 
7370.00	1.669788E+12 
7380.00	1.495014E+12 
7390.00	1.347483E+12 
7400.00	1.221701E+12 
7410.00	1.113492E+12 
7420.00	1.019643E+12 
7430.00	9.377054E+11 
7440.00	8.656921E+11 
7450.00	8.020138E+11 
7460.00	7.454511E+11 
7470.00	6.949382E+11 
7480.00	6.496561E+11 
7490.00	6.088720E+11 
7500.00	5.720196E+11 
7510.00	5.385919E+11 
7520.00	5.081662E+11 
7530.00	4.804326E+11 
7540.00	4.550462E+11 
7550.00	4.317243E+11 
7560.00	4.103137E+11 
7570.00	3.905458E+11 
